Opportunity Name,Billing State/Province,Account Type,Account Owner,Product Name,Amount,#,Account Name,Billing Country,Close Date,Closed,Created Date,Forecast Category,Industry,Opportunity Owner,Opportunity Source,Opportunity Type,Owner Role,Product Family,Segment,Stage,Won
Opportunity for Patterson1324,,Customer,Doroth Gardner,Books,1292300,480,Gonzales409 Inc,Denmark,2/28/21,True,2015-12-20T00:00:00.000Z,Omitted,Engineering,Laura Garza,Alliances,New Business / Add-on,Sales WW,Accessories,GB,09 - Closed Lost,False
Opportunity for Walker1342,GA,Customer,Catherine Brown,Cables,1259840,516,Beck447 Inc,Canada,12/24/20,True,2015-06-03T00:00:00.000Z,Omitted,Technology,Eric Sanchez,BDR,New Business,Sales WW,Accessories,SMB,09 - Closed Lost,False
Opportunity for Lee1827,,Customer,Eric Sanchez,Cables,15760,145,Bass271 Inc,South Korea,9/8/21,False,2016-08-09T00:00:00.000Z,Pipeline,Agriculture,Kelly Frazier,AE,New Business,Sales EMEA,Accessories,MM,03 - Needs Analysis,False
Opportunity for Lane1202,,Customer,Chris Riley,Cases,16485,321,Torres548 Inc,Spain,8/15/20,True,2015-05-22T00:00:00.000Z,Closed,Biotechnology,Bruce Kennedy,BDR,New Business / Add-on,Sales AMER,Accessories,SMB,08 - Closed Won,True
Opportunity for Long1689,FL,Customer,Laura Garza,Cables,100040,484,Hart717 Inc,USA,8/13/20,True,2015-01-27T00:00:00.000Z,Omitted,Healthcare,Eric Sanchez,BDR,Existing Business,Sales WW,Accessories,MM,09 - Closed Lost,False
Opportunity for Phelps203,,Customer,Julie Chavez,Cables,22520,67,Thompson622 Inc,Japan,9/23/20,True,2015-03-05T00:00:00.000Z,Closed,Energy,Doroth Gardner,AE,New Business,Sales AMER,Accessories,SMB,08 - Closed Won,True
Opportunity for Bridges897,,Customer,Julie Chavez,Light laptop,1316850,436,Benson346 Inc,China,1/21/21,True,2015-08-08T00:00:00.000Z,Omitted,Technology,John Williams,Marketing,Existing Business,Sales WW,Laptops,MM,09 - Closed Lost,False
Opportunity for Washington1383,ME,Customer,Dennis Howard,Certifications,208600,585,Bradley715 Inc,USA,2/23/21,True,2015-09-01T00:00:00.000Z,Closed,Insurance,Harold Campbell,AE,New Business / Add-on,Sales EMEA,Digital Media,ESMB,08 - Closed Won,True
Opportunity for Hardy1507,,Customer,John Williams,Keyboard,594760,220,Benson689 Inc,Italy,10/25/21,False,2016-03-30T00:00:00.000Z,Best Case,Manufacturing,Irene Kelley,Marketing,New Business,Sales AMER,Accessories,MM,05 - Perception Analysis,False
Opportunity for Webb1055,NC,Customer,Irene McCoy,Cables,1264240,649,Rivera969 Inc,Morocco,9/14/20,True,2015-05-04T00:00:00.000Z,Omitted,Manufacturing,John Williams,BDR,New Business / Add-on,Sales WW,Accessories,SMB,09 - Closed Lost,False
Opportunity for Martinez1527,,Partner,Laura Garza,Light tablet,377400,248,Delgado225 Inc,United Kingdom,6/20/20,True,2015-04-03T00:00:00.000Z,Omitted,Banking,Bruce Kennedy,AE,New Business,Sales AMER,Tablets,SMB,09 - Closed Lost,False
Opportunity for Stokes814,NH,Customer,Bruce Kennedy,Mouse,1750,311,Luna900 Inc,USA,11/5/21,False,2016-06-14T00:00:00.000Z,Pipeline,Energy,Harold Campbell,BDR,New Business / Add-on,Sales EMEA,Accessories,MM,03 - Needs Analysis,False
Opportunity for Estrada1122,,Partner,Chris Riley,Keyboard,466560,207,Harrison279 Inc,Australia,1/5/22,False,2016-08-07T00:00:00.000Z,Pipeline,Retail,John Williams,Marketing,New Business,Sales WW,Accessories,ENT,04 - Value Proposition,False
Opportunity for Malone1973,,Partner,Catherine Brown,Keyboard,108630,342,Simmons663 Inc,Thailand,9/11/21,False,2016-03-03T00:00:00.000Z,Pipeline,Energy,Doroth Gardner,Alliances,New Business / Add-on,Sales AMER,Accessories,COMM,04 - Value Proposition,False
Opportunity for Reed1483,,Partner,Harold Campbell,Certifications,1755000,184,Fletcher234 Inc,Italy,3/10/21,True,2015-12-27T00:00:00.000Z,Closed,Manufacturing,Eric Sanchez,BDR,New Business,Sales WW,Digital Media,SMB,08 - Closed Won,True
Opportunity for Daniel875,MI,Customer,Kelly Frazier,Cables,5023650,416,Stevenson954 Inc,Canada,5/11/21,True,2016-04-23T00:00:00.000Z,Closed,Insurance,Eric Gutierrez,Marketing,Existing Business,Sales AMER,Accessories,MM,08 - Closed Won,True
Opportunity for Barker446,,Customer,Julie Chavez,Courses,1794340,300,Anderson638 Inc,Russia,5/7/21,True,2016-03-07T00:00:00.000Z,Omitted,Insurance,Irene McCoy,BDR,New Business,Sales WW,Accessories,COMM,09 - Closed Lost,False
Opportunity for Johnson217,,Partner,Eric Sanchez,Books,1935980,94,Banks379 Inc,Japan,3/31/21,True,2015-10-18T00:00:00.000Z,Closed,Apparel,Evelyn Williamson,Alliances,Existing Business,Sales WW,Digital Media,ESMB,08 - Closed Won,True
Opportunity for Mathis1864,,Customer,Irene Kelley,Light tablet 2,2628850,191,Medina110 Inc,Norway,10/19/21,False,2016-06-30T00:00:00.000Z,Pipeline,Banking,Irene Kelley,AE,New Business,Sales AMER,Accessories,SMB,03 - Needs Analysis,False
Opportunity for Medina832,,Partner,Evelyn Williamson,Books,789160,353,Gill296 Inc,Mexico,1/24/21,True,2015-11-23T00:00:00.000Z,Closed,Energy,Kelly Frazier,Marketing,Existing Business,Sales EMEA,Digital Media,GB,08 - Closed Won,True
Opportunity for Lawson1843,NH,Customer,Laura Palmer,Certifications,1876750,150,Arnold813 Inc,Morocco,7/23/21,True,2016-01-01T00:00:00.000Z,Closed,Communications,Johnny Green,BDR,New Business,Sales WW,Digital Media,GB,08 - Closed Won,True
Opportunity for West1117,HI,Partner,Johnny Green,Books,3609320,177,Butler152 Inc,Canada,7/5/21,True,2016-03-18T00:00:00.000Z,Closed,Electronics,Kelly Frazier,Marketing,New Business,Sales EMEA,Digital Media,SMB,08 - Closed Won,True
Opportunity for Warner1943,IL,Customer,Laura Garza,Books,1844200,295,Webster349 Inc,USA,10/5/20,True,2015-06-01T00:00:00.000Z,Closed,Manufacturing,Evelyn Williamson,Marketing,New Business,Sales WW,Digital Media,SMB,08 - Closed Won,True
Opportunity for Santos1475,,Customer,Laura Palmer,,345554,181,Beck370 Inc,Hong Kong,7/9/21,True,2016-02-11T00:00:00.000Z,Closed,Finance,Harold Campbell,BDR,New Business / Add-on,Sales EMEA,,GB,08 - Closed Won,True
Opportunity for Dennis1374,,Customer,Eric Gutierrez,Keyboard,3463920,554,Dawson161 Inc,India,5/8/21,True,2016-01-30T00:00:00.000Z,Closed,Education,Evelyn Williamson,Alliances,Existing Business,Sales WW,Accessories,ESMB,08 - Closed Won,True
Opportunity for Gordon852,AZ,Partner,Dennis Howard,Certifications,762410,389,Robertson5 Inc,Canada,11/28/21,False,2016-07-08T00:00:00.000Z,Pipeline,Agriculture,Harold Campbell,AE,New Business / Add-on,Sales EMEA,Accessories,GB,02 - Qualification,False
Opportunity for Beck451,ID,Customer,Laura Garza,Cables,1518400,303,Ortiz520 Inc,USA,9/29/20,True,2015-09-16T00:00:00.000Z,Closed,Transportation,Evelyn Williamson,Marketing,New Business,Sales WW,Accessories,GB,08 - Closed Won,True
Opportunity for Keller1100,,Partner,Eric Sanchez,Cables,1229730,170,Banks379 Inc,Japan,7/15/20,True,2015-03-27T00:00:00.000Z,Closed,Apparel,Evelyn Williamson,AE,Existing Business,Sales WW,Accessories,ESMB,08 - Closed Won,True
Opportunity for Price1866,,Customer,Bruce Kennedy,Certifications,466000,192,Shaw160 Inc,France,3/10/21,True,2016-01-23T00:00:00.000Z,Closed,Education,Chris Riley,AE,New Business,Sales EMEA,Digital Media,MM,08 - Closed Won,True
Opportunity for Kelly1755,LA,Customer,Bruce Kennedy,Pro laptop,197075,593,Mitchell743 Inc,Canada,5/23/21,True,2016-03-18T00:00:00.000Z,Closed,Energy,Irene Kelley,BDR,New Business / Add-on,Sales AMER,Laptops,GB,08 - Closed Won,True
Opportunity for Schwartz533,IL,Customer,Laura Garza,Keyboard,632960,430,Wade723 Inc,Canada,2/12/21,True,2015-08-29T00:00:00.000Z,Closed,Banking,Dennis Howard,BDR,New Business / Add-on,Sales EMEA,Accessories,SMB,08 - Closed Won,True
Opportunity for Becker221,,Customer,Johnny Green,Books,374505,96,Lee192 Inc,Mexico,3/22/21,True,2015-10-26T00:00:00.000Z,Closed,Engineering,Irene Kelley,BDR,New Business / Add-on,Sales AMER,Digital Media,MM,08 - Closed Won,True
Opportunity for Chandler1281,,Customer,Johnny Green,Certifications,2336600,422,Lee192 Inc,Mexico,11/23/21,False,2016-06-09T00:00:00.000Z,Best Case,Engineering,Irene McCoy,Marketing,New Business,Sales WW,Digital Media,MM,05 - Perception Analysis,False
Opportunity for Potter50,MT,Partner,Chris Riley,Books,333830,76,Porter466 Inc,Canada,4/16/21,True,2015-11-16T00:00:00.000Z,Closed,Biotechnology,Laura Palmer,Alliances,New Business,Sales EMEA,Digital Media,SMB,08 - Closed Won,True
Opportunity for Park1288,UT,Customer,Chris Riley,Books,107040,449,Hogan989 Inc,Canada,3/27/21,True,2016-02-27T00:00:00.000Z,Closed,Transportation,Chris Riley,Alliances,New Business / Add-on,Sales EMEA,Digital Media,ESMB,08 - Closed Won,True
Opportunity for Larson1945,OH,Customer,Evelyn Williamson,Cases,1674960,296,Young486 Inc,USA,12/21/20,True,2015-10-03T00:00:00.000Z,Closed,Technology,Harold Campbell,Marketing,New Business,Sales EMEA,Accessories,MM,08 - Closed Won,True
Opportunity for Luna668,,Customer,Eric Sanchez,Cables,3251640,640,Quinn144 Inc,Brazil,4/10/21,True,2015-11-03T00:00:00.000Z,Closed,Engineering,Irene Kelley,BDR,New Business / Add-on,Sales AMER,Accessories,MM,08 - Closed Won,True
Opportunity for McKenzie412,,Customer,Chris Riley,Light tablet 2,3626550,71,Roberson8 Inc,Spain,7/29/20,True,2015-04-14T00:00:00.000Z,Omitted,Technology,Laura Garza,Alliances,New Business / Add-on,Sales WW,Laptops,SMB,09 - Closed Lost,False
Opportunity for Hunter534,,Customer,Harold Campbell,Light tablet 2,234750,431,Graves925 Inc,China,2/16/21,True,2016-01-28T00:00:00.000Z,Omitted,Education,Kelly Frazier,BDR,Existing Business,Sales EMEA,Tablets,ENT,09 - Closed Lost,False
Opportunity for Bowers595,,Customer,Chris Riley,Cases,681410,531,Cook117 Inc,Thailand,3/9/21,True,2015-11-27T00:00:00.000Z,Closed,Energy,Dennis Howard,AE,New Business,Sales EMEA,Accessories,GB,08 - Closed Won,True
Opportunity for West913,,Customer,Johnny Green,Cables,1418640,445,Hernandez713 Inc,India,6/15/20,True,2014-10-26T00:00:00.000Z,Closed,Banking,Bruce Kennedy,AE,New Business,Sales AMER,Accessories,MM,08 - Closed Won,True
Opportunity for Hart1350,,Partner,Eric Gutierrez,Light tablet,526200,519,Todd566 Inc,Taiwan,7/12/20,True,2015-06-13T00:00:00.000Z,Omitted,Technology,Bruce Kennedy,AE,New Business,Sales AMER,Tablets,ESMB,09 - Closed Lost,False
Opportunity for Griffin1384,,Customer,Johnny Green,,374162,582,Ross364 Inc,Norway,4/5/21,True,2015-10-03T00:00:00.000Z,Omitted,Insurance,Johnny Green,Marketing,New Business,Sales WW,,MM,09 - Closed Lost,False
Opportunity for Dixon1405,,Customer,Eric Gutierrez,Space phone 3,644000,625,Henderson891 Inc,Thailand,11/3/21,False,2016-05-04T00:00:00.000Z,Pipeline,Banking,Nicolas Weaver,Marketing,New Business,Sales AMER,Phones,MM,02 - Qualification,False
Opportunity for Armstrong600,SC,Customer,Doroth Gardner,Cables,2102240,532,Rodriguez422 Inc,Canada,2/13/22,False,2016-06-22T00:00:00.000Z,Pipeline,Electronics,Irene Kelley,Alliances,New Business / Add-on,Sales AMER,Accessories,GB,01 - Prospecting,False
Opportunity for Cross1834,,Customer,Laura Palmer,Mega laptop,1756800,147,Gordon406 Inc,Denmark,1/27/22,False,2016-06-06T00:00:00.000Z,Pipeline,Engineering,Kelly Frazier,Alliances,New Business / Add-on,Sales EMEA,Laptops,COMM,02 - Qualification,False
Opportunity for Webb1394,,Partner,John Williams,,446889,590,Riley852 Inc,Russia,10/6/20,True,2015-07-11T00:00:00.000Z,Closed,Media,Bruce Kennedy,BDR,New Business / Add-on,Sales AMER,,MM,08 - Closed Won,True
Opportunity for Brooks342,,Customer,Catherine Brown,Cables,5280,122,Walsh54 Inc,Italy,4/27/21,True,2016-04-08T00:00:00.000Z,Closed,Telecommunications,Bruce Kennedy,BDR,New Business,Sales AMER,Accessories,SMB,08 - Closed Won,True
Opportunity for Chandler133,,Customer,Dennis Howard,Cables,754640,4,Gibson62 Inc,Norway,8/23/21,False,2016-01-04T00:00:00.000Z,Best Case,Healthcare,Dennis Howard,AE,New Business,Sales EMEA,Accessories,MM,05 - Perception Analysis,False
Opportunity for Duncan885,,Partner,Julie Chavez,,413101,417,Murphy861 Inc,Norway,10/15/21,False,2016-03-12T00:00:00.000Z,Pipeline,Communications,Eric Sanchez,Alliances,New Business,Sales WW,,GB,02 - Qualification,False
Opportunity for Wilkins1372,,Customer,Johnny Green,Cables,932900,552,Lee192 Inc,Mexico,3/21/21,True,2016-01-04T00:00:00.000Z,Closed,Engineering,Eric Sanchez,AE,New Business / Add-on,Sales WW,Accessories,MM,08 - Closed Won,True
Opportunity for Freeman746,,Customer,Dennis Howard,Mega laptop,1411200,203,Cobb132 Inc,Taiwan,2/9/21,True,2015-06-21T00:00:00.000Z,Closed,Apparel,Evelyn Williamson,BDR,New Business,Sales WW,Laptops,MM,08 - Closed Won,True
Opportunity for Carroll233,,Customer,Eric Gutierrez,Cables,1578500,112,Freeman751 Inc,Germany,2/1/21,True,2015-08-14T00:00:00.000Z,Closed,Retail,Irene McCoy,Marketing,New Business / Add-on,Sales WW,Accessories,ENT,08 - Closed Won,True
Opportunity for Meyer1740,WA,Customer,Johnny Green,Books,1337090,558,Bridges776 Inc,USA,4/13/21,True,2016-01-30T00:00:00.000Z,Closed,Finance,John Williams,BDR,Existing Business,Sales WW,Digital Media,MM,08 - Closed Won,True
Opportunity for Pittman658,,Customer,Dennis Howard,,252545,638,Bryant250 Inc,Spain,10/19/20,True,2015-09-24T00:00:00.000Z,Closed,Biotechnology,Evelyn Williamson,AE,Existing Business,Sales WW,,SMB,08 - Closed Won,True
Opportunity for Santiago590,,Partner,Dennis Howard,Keyboard,57510,528,Haynes623 Inc,South Korea,3/31/21,True,2015-09-30T00:00:00.000Z,Omitted,Apparel,Johnny Green,BDR,Existing Business,Sales WW,Accessories,SMB,09 - Closed Lost,False
Opportunity for Lloyd424,,Customer,Bruce Kennedy,,389648,261,Silva224 Inc,Brazil,3/7/21,True,2015-10-07T00:00:00.000Z,Closed,Banking,Evelyn Williamson,Marketing,New Business,Sales WW,,MM,08 - Closed Won,True
Opportunity for Wilkins38,,Customer,Chris Riley,Mini tablet 2,980500,42,Bennett519 Inc,Russia,7/25/21,True,2016-03-10T00:00:00.000Z,Closed,Manufacturing,Eric Sanchez,Marketing,New Business / Add-on,Sales WW,Tablets,MM,08 - Closed Won,True
Opportunity for Spencer1223,NE,Partner,Julie Chavez,Cables,32480,359,Chandler98 Inc,Canada,11/24/21,False,2016-05-29T00:00:00.000Z,Best Case,Insurance,Chris Riley,BDR,New Business,Sales EMEA,Accessories,SMB,05 - Perception Analysis,False
Opportunity for Kennedy1514,,Customer,Julie Chavez,Keyboard,130230,223,Tate321 Inc,France,7/20/20,True,2015-01-10T00:00:00.000Z,Closed,Apparel,Eric Gutierrez,BDR,New Business,Sales AMER,Accessories,SMB,08 - Closed Won,True
Opportunity for Pittman263,,Partner,Eric Sanchez,Cases,1879190,12,Joseph361 Inc,Switzerland,1/28/21,True,2015-07-25T00:00:00.000Z,Closed,Manufacturing,Laura Palmer,Marketing,New Business,Sales EMEA,Accessories,MM,08 - Closed Won,True
Opportunity for Tucker470,,Customer,Laura Garza,Light tablet 2,2254450,345,Lloyd845 Inc,Hong Kong,9/21/21,False,2016-06-09T00:00:00.000Z,Commit,Banking,Nicolas Weaver,AE,Existing Business,Sales AMER,Laptops,COMM,07 - Negotiation/Review,False
Opportunity for Sanders1761,,Partner,Laura Garza,Cables,1049880,598,Brewer941 Inc,Brazil,9/3/21,False,2016-06-05T00:00:00.000Z,Pipeline,Apparel,John Williams,BDR,New Business,Sales WW,Accessories,SMB,02 - Qualification,False
Opportunity for Oliver1504,OH,Customer,Evelyn Williamson,Light tablet,1032600,218,Young486 Inc,USA,1/25/21,True,2015-10-17T00:00:00.000Z,Closed,Technology,Evelyn Williamson,AE,New Business / Add-on,Sales WW,Tablets,MM,08 - Closed Won,True
Opportunity for Watkins896,,Customer,Harold Campbell,Courses,358100,435,Herrera637 Inc,China,6/7/21,True,2016-05-24T00:00:00.000Z,Closed,Utilities,Nicolas Weaver,Marketing,New Business,Sales AMER,Digital Media,MM,08 - Closed Won,True
Opportunity for Mendez460,MN,Customer,Chris Riley,,23245,306,Obrien994 Inc,USA,1/10/21,True,2015-09-10T00:00:00.000Z,Closed,Agriculture,Eric Sanchez,Alliances,New Business,Sales WW,,SMB,08 - Closed Won,True
Opportunity for Howell1150,,Customer,Laura Palmer,Light tablet,1058150,240,Lawrence696 Inc,Belgium,9/23/20,True,2015-06-26T00:00:00.000Z,Closed,Biotechnology,Laura Palmer,Marketing,Existing Business,Sales EMEA,Accessories,SMB,08 - Closed Won,True
Opportunity for Allen1162,,Partner,Johnny Green,Pro laptop,1032800,243,Roberts804 Inc,Japan,6/9/21,True,2015-10-13T00:00:00.000Z,Closed,Banking,Chris Riley,Marketing,Existing Business,Sales EMEA,Laptops,MM,08 - Closed Won,True
Opportunity for Long562,,Customer,Catherine Brown,Mega laptop,249600,488,Anderson269 Inc,Switzerland,10/16/20,True,2015-08-12T00:00:00.000Z,Closed,Biotechnology,Dennis Howard,AE,New Business / Add-on,Sales EMEA,Laptops,MM,08 - Closed Won,True
Opportunity for Williamson906,UT,Customer,Chris Riley,Courses,2449675,441,Hogan989 Inc,Canada,6/5/21,True,2016-02-28T00:00:00.000Z,Closed,Transportation,Laura Garza,Alliances,New Business / Add-on,Sales WW,Digital Media,ESMB,08 - Closed Won,True
Opportunity for Farmer932,,Customer,Bruce Kennedy,Mega laptop,2339200,473,Chambers869 Inc,Brazil,9/17/20,True,2015-04-11T00:00:00.000Z,Closed,Engineering,Bruce Kennedy,Marketing,New Business,Sales AMER,Laptops,SMB,08 - Closed Won,True
Opportunity for Santiago1997,,Customer,Chris Riley,Cables,1394000,381,Bennett519 Inc,Russia,8/6/21,True,2016-04-11T00:00:00.000Z,Closed,Manufacturing,Laura Palmer,Alliances,New Business,Sales EMEA,Accessories,MM,08 - Closed Won,True
Opportunity for Williamson1573,MN,Customer,Doroth Gardner,Light laptop,3990000,329,Long31 Inc,USA,5/22/21,True,2015-12-16T00:00:00.000Z,Omitted,Consulting,Dennis Howard,AE,New Business / Add-on,Sales EMEA,Laptops,COMM,09 - Closed Lost,False
Opportunity for Malone696,,Customer,Irene McCoy,Courses,137400,129,Fletcher429 Inc,Germany,9/13/21,False,2016-08-07T00:00:00.000Z,Commit,Retail,Chris Riley,BDR,New Business / Add-on,Sales EMEA,Digital Media,SMB,07 - Negotiation/Review,False
Opportunity for Bryan454,,Customer,Dennis Howard,Certifications,380500,304,Holmes7 Inc,South Korea,1/28/21,True,2015-12-04T00:00:00.000Z,Omitted,Engineering,Eric Sanchez,Alliances,New Business / Add-on,Sales WW,Digital Media,MM,09 - Closed Lost,False
Opportunity for Moran1134,,Customer,Nicolas Weaver,Cables,749210,213,Park905 Inc,Japan,6/29/20,True,2014-12-11T00:00:00.000Z,Closed,Technology,Kelly Frazier,AE,Existing Business,Sales EMEA,Accessories,SMB,08 - Closed Won,True
Opportunity for Watson580,,Customer,Chris Riley,Cables,4090880,491,Torres548 Inc,Spain,5/26/21,True,2016-04-09T00:00:00.000Z,Closed,Biotechnology,Evelyn Williamson,AE,New Business / Add-on,Sales WW,Accessories,SMB,08 - Closed Won,True
Opportunity for Santos218,,Customer,Laura Garza,,435960,95,Stone207 Inc,Russia,3/25/21,True,2016-03-12T00:00:00.000Z,Closed,Banking,Doroth Gardner,Marketing,Existing Business,Sales AMER,,ESMB,08 - Closed Won,True
Opportunity for Weber1216,,Customer,Evelyn Williamson,Courses,329425,357,Hunt786 Inc,Denmark,3/2/21,True,2016-01-13T00:00:00.000Z,Closed,Electronics,Eric Sanchez,Marketing,New Business / Add-on,Sales WW,Digital Media,ENT,08 - Closed Won,True
Opportunity for Barton1587,,Customer,Kelly Frazier,Keyboard,65070,367,Flores159 Inc,Brazil,2/26/21,True,2015-08-21T00:00:00.000Z,Omitted,Media,Laura Garza,AE,New Business / Add-on,Sales WW,Accessories,COMM,09 - Closed Lost,False
Opportunity for Holt1914,,Customer,John Williams,Space phone 2,125325,256,Hampton15 Inc,United Kingdom,10/9/20,True,2015-06-21T00:00:00.000Z,Closed,Utilities,Chris Riley,Marketing,New Business,Sales EMEA,Phones,ENT,08 - Closed Won,True
Opportunity for Butler33,LA,Customer,Laura Palmer,Cases,8577295,39,Watts685 Inc,USA,1/5/22,False,2016-06-27T00:00:00.000Z,Best Case,Biotechnology,Doroth Gardner,Marketing,New Business / Add-on,Sales AMER,Accessories,GB,05 - Perception Analysis,False
Opportunity for Obrien1138,MA,Customer,Eric Gutierrez,,489886,214,Perez590 Inc,USA,11/27/20,True,2015-10-29T00:00:00.000Z,Omitted,Retail,Chris Riley,AE,New Business,Sales EMEA,,SMB,09 - Closed Lost,False
Opportunity for Bridges657,AZ,Customer,Catherine Brown,Mega laptop,1314400,615,Simmons211 Inc,USA,8/20/21,False,2016-04-08T00:00:00.000Z,Pipeline,Banking,Laura Garza,BDR,New Business,Sales WW,Accessories,SMB,02 - Qualification,False
Opportunity for Chandler1439,,Customer,Eric Gutierrez,Certifications,1648300,658,Thomas208 Inc,Hong Kong,9/23/21,False,2016-08-03T00:00:00.000Z,Pipeline,Energy,Johnny Green,Marketing,Existing Business,Sales WW,Accessories,COMM,03 - Needs Analysis,False
Opportunity for Tate1543,MA,Partner,Catherine Brown,,460956,283,Ingram217 Inc,Canada,3/4/21,True,2015-12-16T00:00:00.000Z,Closed,Biotechnology,Eric Sanchez,BDR,New Business,Sales WW,,MM,08 - Closed Won,True
Opportunity for White1403,,Partner,Catherine Brown,Certifications,972500,624,West49 Inc,Japan,5/26/20,True,2015-03-30T00:00:00.000Z,Omitted,Apparel,Doroth Gardner,AE,New Business / Add-on,Sales AMER,Digital Media,SMB,09 - Closed Lost,False
Opportunity for Bass1237,MO,Customer,Evelyn Williamson,Books,2855840,366,Curtis678 Inc,USA,2/25/22,False,2016-07-05T00:00:00.000Z,Pipeline,Technology,Irene Kelley,AE,New Business / Add-on,Sales AMER,Digital Media,COMM,02 - Qualification,False
Opportunity for Carpenter1221,,Partner,Julie Chavez,Books,2887700,358,Murphy861 Inc,Norway,9/1/21,False,2016-06-22T00:00:00.000Z,Best Case,Communications,Irene McCoy,BDR,New Business,Sales WW,Digital Media,GB,06 - Proposal/Price Quote,False
Opportunity for Hall1897,,Customer,Kelly Frazier,Light tablet 2,2925000,228,Lopez140 Inc,China,2/19/22,False,2016-07-19T00:00:00.000Z,Best Case,Energy,Nicolas Weaver,Marketing,New Business,Sales AMER,Phones,GB,05 - Perception Analysis,False
Opportunity for Maxwell1410,,Customer,Eric Sanchez,Light laptop,2183750,627,Ferguson911 Inc,Norway,5/1/21,True,2016-04-12T00:00:00.000Z,Omitted,Technology,Kelly Frazier,BDR,New Business,Sales EMEA,Laptops,GB,09 - Closed Lost,False
Opportunity for Delgado1258,CA,Customer,Laura Garza,Certifications,2129900,401,Hughes308 Inc,Canada,11/26/20,True,2015-04-18T00:00:00.000Z,Omitted,Finance,Laura Palmer,Marketing,New Business / Add-on,Sales EMEA,Digital Media,COMM,09 - Closed Lost,False
Opportunity for Hicks1818,,Customer,Eric Gutierrez,Light tablet,1417400,668,Crawford14 Inc,Belgium,2/24/21,True,2016-01-07T00:00:00.000Z,Closed,Telecommunications,John Williams,Marketing,New Business / Add-on,Sales WW,Laptops,COMM,08 - Closed Won,True
Opportunity for Bradley1628,CO,Customer,Laura Palmer,Keyboard,326160,423,Vega718 Inc,USA,4/12/21,True,2015-10-20T00:00:00.000Z,Closed,Energy,Laura Garza,Marketing,New Business / Add-on,Sales WW,Accessories,COMM,08 - Closed Won,True
Opportunity for Todd162,HI,Customer,Kelly Frazier,Mini tablet 2,465500,46,Maldonado464 Inc,Canada,10/25/21,False,2016-06-25T00:00:00.000Z,Pipeline,Technology,Eric Sanchez,Marketing,New Business / Add-on,Sales WW,Phones,ESMB,01 - Prospecting,False
Opportunity for Tyler1115,,Customer,Dennis Howard,Books,114000,176,Cohen950 Inc,Norway,9/20/21,False,2016-06-19T00:00:00.000Z,Pipeline,Biotechnology,Nicolas Weaver,Marketing,New Business / Add-on,Sales AMER,Digital Media,ENT,04 - Value Proposition,False
Opportunity for Baker1644,,Customer,John Williams,Mega laptop,2440900,426,Steele90 Inc,Norway,12/28/20,True,2015-09-09T00:00:00.000Z,Closed,Transportation,John Williams,AE,New Business,Sales WW,Laptops,ESMB,08 - Closed Won,True
Opportunity for Edwards146,,Customer,Laura Garza,Courses,4212140,7,Harris13 Inc,Norway,9/10/21,False,2016-06-06T00:00:00.000Z,Best Case,Banking,Johnny Green,Marketing,New Business,Sales WW,Accessories,MM,05 - Perception Analysis,False
Opportunity for Miles1094,,Partner,Irene Kelley,Cables,79480,167,Myers320 Inc,Japan,5/19/21,True,2015-12-31T00:00:00.000Z,Closed,Agriculture,Harold Campbell,AE,Existing Business,Sales EMEA,Accessories,SMB,08 - Closed Won,True
Opportunity for Walsh1918,,Partner,Harold Campbell,Light tablet 2,179700,257,Webb96 Inc,Australia,11/21/21,False,2016-04-09T00:00:00.000Z,Best Case,Retail,Irene Kelley,AE,New Business / Add-on,Sales AMER,Accessories,MM,06 - Proposal/Price Quote,False
Opportunity for Rodriquez1469,,Customer,Eric Sanchez,Mini tablet 2,491550,178,King818 Inc,China,8/4/21,True,2016-04-15T00:00:00.000Z,Closed,Telecommunications,Irene Kelley,BDR,New Business / Add-on,Sales AMER,Accessories,MM,08 - Closed Won,True
Opportunity for Hunt578,,Customer,Harold Campbell,Keyboard,1012640,490,Lambert452 Inc,Thailand,3/26/21,True,2015-08-20T00:00:00.000Z,Closed,Utilities,Catherine Brown,BDR,New Business,Sales WW,Accessories,GB,08 - Closed Won,True
Opportunity for Perry395,,Partner,Laura Garza,Books,237840,60,Green672 Inc,South Korea,7/15/21,True,2016-05-23T00:00:00.000Z,Closed,Biotechnology,Dennis Howard,Alliances,New Business,Sales EMEA,Digital Media,COMM,08 - Closed Won,True
Opportunity for Clarke1831,,Partner,Irene Kelley,,359939,146,Myers320 Inc,Japan,8/19/20,True,2015-02-15T00:00:00.000Z,Closed,Agriculture,John Williams,Marketing,New Business,Sales WW,,SMB,08 - Closed Won,True
Opportunity for Knight1172,OH,Partner,Dennis Howard,Light laptop,2113750,278,Hall230 Inc,Canada,3/23/21,True,2015-10-25T00:00:00.000Z,Closed,Apparel,Dennis Howard,BDR,New Business,Sales EMEA,Laptops,SMB,08 - Closed Won,True
Opportunity for Evans607,,Customer,Dennis Howard,Cases,341390,535,Riley999 Inc,Japan,1/31/21,True,2015-11-24T00:00:00.000Z,Omitted,Energy,Harold Campbell,AE,New Business,Sales EMEA,Accessories,SMB,09 - Closed Lost,False
