Opportunity Name,Billing State/Province,Account Type,Account Owner,Product Name,Amount,Billing Country,Account Name,Close Date,Closed,Created Date,Industry,Opportunity Owner,Opportunity Source,Opportunity Type,Owner Role,Product Family,Segment,Stage,Won
Opportunity for Carroll233,,Customer,Eric Gutierrez,Cables,1578500,Germany,Freeman751 Inc,2016-02-01,true,2015-08-14T00:00:00.000Z,Retail,Irene McCoy,Marketing,New Business / Add-on,Sales WW,Accessories,ENT,08 - Closed Won,true
Opportunity for Murphy234,,Customer,John Williams,Cables,2734080,Japan,Gray676 Inc,2015-09-23,true,2015-06-11T00:00:00.000Z,Biotechnology,Irene McCoy,AE,Existing Business,Sales WW,Accessories,SMB,08 - Closed Won,true
Opportunity for Willis238,,Partner,Julie Chavez,Light laptop,2250950,Norway,Bush454 Inc,2015-05-30,true,2014-10-02T00:00:00.000Z,Finance,Irene Kelley,Alliances,New Business,Sales AMER,Laptops,SMB,08 - Closed Won,true
Opportunity for Padilla247,,Customer,Harold Campbell,Books,1214160,Thailand,Lambert452 Inc,2016-02-10,true,2015-10-31T00:00:00.000Z,Utilities,Irene Kelley,AE,New Business / Add-on,Sales AMER,Digital Media,GB,09 - Closed Lost,false
Opportunity for Barnett252,FL,Customer,Eric Sanchez,,431194,Canada,Myers581 Inc,2016-02-10,true,2015-11-21T00:00:00.000Z,Consulting,Nicolas Weaver,BDR,Existing Business,Sales AMER,,ESMB,08 - Closed Won,true
Opportunity for Cooper256,,Customer,Julie Chavez,Light laptop,2218900,Switzerland,Davidson606 Inc,2016-04-29,true,2016-02-29T00:00:00.000Z,Healthcare,Irene Kelley,BDR,Existing Business,Sales AMER,Accessories,GB,09 - Closed Lost,false
Opportunity for Campbell329,,Partner,Julie Chavez,Mini tablet,3173450,Norway,Bush454 Inc,2016-07-31,true,2016-06-09T00:00:00.000Z,Finance,Laura Palmer,AE,New Business,Sales EMEA,Laptops,SMB,08 - Closed Won,true
Opportunity for Fletcher332,,Partner,Johnny Green,Space phone 2,313425,Russia,Pratt392 Inc,2016-08-20,false,2016-06-03T00:00:00.000Z,Retail,Laura Palmer,AE,New Business / Add-on,Sales EMEA,Phones,ESMB,04 - Value Proposition,false
Opportunity for Shaw336,ND,Partner,Eric Gutierrez,Cables,389120,Canada,Keller1 Inc,2016-11-08,false,2016-07-26T00:00:00.000Z,Media,Eric Gutierrez,AE,New Business / Add-on,Sales AMER,Accessories,GB,02 - Qualification,false
Opportunity for Roy337,,Partner,Evelyn Williamson,Courses,1241600,Norway,Holloway471 Inc,2015-12-01,true,2015-10-11T00:00:00.000Z,Biotechnology,Laura Garza,AE,New Business,Sales WW,Digital Media,MM,08 - Closed Won,true
Opportunity for Brooks342,,Customer,Catherine Brown,Cables,5280,Italy,Walsh54 Inc,2016-04-26,true,2016-04-08T00:00:00.000Z,Telecommunications,Bruce Kennedy,BDR,New Business,Sales AMER,Accessories,SMB,08 - Closed Won,true
Opportunity for Gomez345,,Customer,Irene McCoy,Mini tablet,3145700,Japan,Russell560 Inc,2016-05-14,true,2016-02-03T00:00:00.000Z,Education,Catherine Brown,BDR,New Business,Sales WW,Accessories,ENT,09 - Closed Lost,false
Opportunity for Fuller347,AZ,Partner,Laura Palmer,Cables,157900,Canada,Robinson442 Inc,2015-08-30,true,2015-03-02T00:00:00.000Z,Retail,Eric Sanchez,AE,New Business,Sales WW,Accessories,SMB,09 - Closed Lost,false
Opportunity for Christensen684,,Partner,Catherine Brown,Cables,624510,Thailand,Simmons663 Inc,2016-11-12,false,2016-05-06T00:00:00.000Z,Energy,Irene Kelley,Marketing,Existing Business,Sales AMER,Accessories,COMM,02 - Qualification,false
Opportunity for Murray689,CT,Customer,Laura Garza,Light laptop,2135800,USA,Marsh836 Inc,2016-04-04,true,2015-12-24T00:00:00.000Z,Insurance,Laura Palmer,Marketing,New Business,Sales EMEA,Accessories,SMB,09 - Closed Lost,false
Opportunity for Gomez694,,Customer,Julie Chavez,Cables,452200,Japan,Schmidt289 Inc,2016-05-01,true,2015-11-04T00:00:00.000Z,Manufacturing,Nicolas Weaver,Marketing,New Business / Add-on,Sales AMER,Accessories,MM,09 - Closed Lost,false
Opportunity for McKenzie695,,Customer,Eric Sanchez,Books,538820,Hong Kong,Stokes935 Inc,2016-06-08,true,2016-05-15T00:00:00.000Z,Electronics,Eric Sanchez,BDR,New Business,Sales WW,Digital Media,SMB,09 - Closed Lost,false
Opportunity for Malone696,,Customer,Irene McCoy,Courses,137400,Germany,Fletcher429 Inc,2016-09-12,false,2016-08-07T00:00:00.000Z,Retail,Chris Riley,BDR,New Business / Add-on,Sales EMEA,Digital Media,SMB,07 - Negotiation/Review,false
Opportunity for Ingram699,,Partner,Julie Chavez,Light tablet 2,2669875,Turkey,Weaver350 Inc,2016-06-25,true,2015-12-27T00:00:00.000Z,Technology,Evelyn Williamson,Marketing,Existing Business,Sales WW,Laptops,MM,09 - Closed Lost,false
Opportunity for Swanson1068,,Customer,Irene McCoy,,248276,South Korea,Ellis327 Inc,2016-12-04,false,2016-06-01T00:00:00.000Z,Banking,Laura Garza,AE,New Business,Sales WW,,MM,07 - Negotiation/Review,false
Opportunity for Vaughn1076,,Customer,Eric Gutierrez,Mini tablet,771200,Hong Kong,Thomas208 Inc,2015-08-10,true,2015-04-17T00:00:00.000Z,Energy,Nicolas Weaver,BDR,New Business,Sales AMER,Tablets,COMM,09 - Closed Lost,false
Opportunity for Weber1078,NE,Customer,Doroth Gardner,Cables,36960,Canada,Webb165 Inc,2016-10-13,false,2016-05-22T00:00:00.000Z,Apparel,Doroth Gardner,BDR,New Business / Add-on,Sales AMER,Accessories,MM,04 - Value Proposition,false
Opportunity for Bowman1081,,Partner,Johnny Green,,218204,Italy,Johnson960 Inc,2015-08-16,true,2015-04-17T00:00:00.000Z,Communications,Eric Gutierrez,Marketing,New Business / Add-on,Sales AMER,,SMB,08 - Closed Won,true
Opportunity for Maxwell1082,IN,Customer,Laura Garza,,457656,USA,Hill331 Inc,2016-01-30,true,2015-08-03T00:00:00.000Z,Apparel,Laura Palmer,AE,New Business / Add-on,Sales EMEA,,SMB,08 - Closed Won,true
Opportunity for Soto1087,,Customer,Irene Kelley,Certifications,263500,Taiwan,Fleming710 Inc,2016-02-11,true,2015-07-01T00:00:00.000Z,Utilities,Irene Kelley,Alliances,New Business / Add-on,Sales AMER,Digital Media,MM,08 - Closed Won,true
Opportunity for Alvarez1088,,Partner,Kelly Frazier,Mega laptop,2592000,Japan,Allison992 Inc,2016-10-29,false,2016-04-09T00:00:00.000Z,Media,Dennis Howard,BDR,New Business,Sales EMEA,Laptops,GB,03 - Needs Analysis,false
Opportunity for Chandler1451,,Customer,Nicolas Weaver,Books,163110,Germany,Owens588 Inc,2016-02-21,true,2015-09-10T00:00:00.000Z,Transportation,John Williams,AE,New Business / Add-on,Sales WW,Accessories,COMM,09 - Closed Lost,false
Opportunity for Grant1452,,Customer,Laura Garza,Keyboard,735870,Sweden,Ingram644 Inc,2016-11-11,false,2016-08-16T00:00:00.000Z,Communications,Eric Gutierrez,AE,Existing Business,Sales AMER,Accessories,COMM,01 - Prospecting,false
Opportunity for Bates1455,RI,Customer,Chris Riley,Courses,482025,USA,Fleming762 Inc,2017-02-14,false,2016-07-18T00:00:00.000Z,Insurance,Bruce Kennedy,Alliances,New Business / Add-on,Sales AMER,Digital Media,ENT,04 - Value Proposition,false
Opportunity for Paul1460,,Customer,Laura Garza,Mini tablet 2,2714200,Norway,Harris13 Inc,2016-01-24,true,2015-10-08T00:00:00.000Z,Banking,Irene Kelley,Marketing,New Business,Sales AMER,Laptops,MM,09 - Closed Lost,false
Opportunity for Cruz1461,AR,Customer,Irene McCoy,Cables,60160,USA,Graham705 Inc,2016-09-10,false,2016-01-25T00:00:00.000Z,Apparel,Laura Palmer,AE,New Business,Sales EMEA,Accessories,MM,04 - Value Proposition,false
Opportunity for Jacobs1464,FL,Customer,Eric Sanchez,Books,5198280,Morocco,Myers581 Inc,2016-08-19,false,2016-01-08T00:00:00.000Z,Consulting,Laura Palmer,AE,New Business,Sales EMEA,Accessories,ESMB,01 - Prospecting,false
Opportunity for Walton1466,UT,Partner,Chris Riley,Books,558860,Canada,Vargas578 Inc,2015-10-28,true,2015-09-10T00:00:00.000Z,Education,Dennis Howard,AE,New Business / Add-on,Sales EMEA,Accessories,ESMB,09 - Closed Lost,false
Opportunity for Lee1827,,Customer,Eric Sanchez,Cables,15760,South Korea,Bass271 Inc,2016-09-07,false,2016-08-09T00:00:00.000Z,Agriculture,Kelly Frazier,AE,New Business,Sales EMEA,Accessories,MM,03 - Needs Analysis,false
Opportunity for Clarke1831,,Partner,Irene Kelley,,359939,Japan,Myers320 Inc,2015-08-19,true,2015-02-15T00:00:00.000Z,Agriculture,John Williams,Marketing,New Business,Sales WW,,SMB,08 - Closed Won,true
Opportunity for Cross1834,,Customer,Laura Palmer,Mega laptop,1756800,Denmark,Gordon406 Inc,2017-01-26,false,2016-06-06T00:00:00.000Z,Engineering,Kelly Frazier,Alliances,New Business / Add-on,Sales EMEA,Laptops,COMM,02 - Qualification,false
Opportunity for McGee1836,MO,Customer,Doroth Gardner,,110986,USA,Wagner421 Inc,2016-07-14,true,2016-05-18T00:00:00.000Z,Education,Nicolas Weaver,BDR,New Business / Add-on,Sales AMER,,COMM,08 - Closed Won,true
Opportunity for Ramirez1837,,Customer,John Williams,,179964,United Kingdom,Salazar150 Inc,2017-03-03,false,2016-07-15T00:00:00.000Z,Utilities,Laura Palmer,Alliances,New Business,Sales EMEA,,SMB,02 - Qualification,false
Opportunity for Lawson1843,NH,Customer,Laura Palmer,Certifications,1876750,Morocco,Arnold813 Inc,2016-07-22,true,2016-01-01T00:00:00.000Z,Communications,Johnny Green,BDR,New Business,Sales WW,Digital Media,GB,08 - Closed Won,true
Opportunity for Gordon1846,ME,Customer,Julie Chavez,Books,1531940,USA,Martinez181 Inc,2015-05-28,true,2015-02-23T00:00:00.000Z,Biotechnology,Harold Campbell,BDR,New Business,Sales EMEA,Digital Media,SMB,08 - Closed Won,true
Opportunity for Roberts1847,,Partner,Eric Gutierrez,Keyboard,1096500,Hong Kong,McCarthy602 Inc,2016-03-06,true,2015-08-19T00:00:00.000Z,Healthcare,Dennis Howard,BDR,New Business,Sales EMEA,Accessories,SMB,08 - Closed Won,true
Opportunity for Chavez1849,,Partner,Eric Gutierrez,Light laptop,3306250,Brazil,Walsh951 Inc,2015-07-20,true,2015-01-20T00:00:00.000Z,Apparel,Irene Kelley,AE,Existing Business,Sales AMER,Laptops,ESMB,08 - Closed Won,true
Opportunity for Ramos1851,ID,Customer,Irene McCoy,Books,388890,Canada,Graves33 Inc,2016-02-18,true,2015-09-30T00:00:00.000Z,Telecommunications,Bruce Kennedy,Marketing,Existing Business,Sales AMER,Accessories,MM,08 - Closed Won,true
Opportunity for Adams708,,Partner,Irene Kelley,Books,1269390,Taiwan,Bryant456 Inc,2016-09-11,false,2016-02-05T00:00:00.000Z,Electronics,Nicolas Weaver,Marketing,New Business,Sales AMER,Accessories,MM,01 - Prospecting,false
Opportunity for Luna711,NJ,Customer,Nicolas Weaver,Mega laptop,281700,Canada,Underwood142 Inc,2016-08-29,false,2016-05-15T00:00:00.000Z,Energy,Dennis Howard,BDR,New Business,Sales EMEA,Accessories,COMM,04 - Value Proposition,false
Opportunity for Morgan713,ME,Customer,Evelyn Williamson,Light laptop,2717500,Canada,Joseph730 Inc,2016-12-23,false,2016-05-30T00:00:00.000Z,Energy,Chris Riley,AE,Existing Business,Sales EMEA,Laptops,MM,01 - Prospecting,false
Opportunity for Massey714,OH,Partner,Dennis Howard,Keyboard,559580,Canada,Hall230 Inc,2016-08-13,true,2016-06-12T00:00:00.000Z,Apparel,Laura Garza,Marketing,New Business,Sales WW,Accessories,SMB,08 - Closed Won,true
Opportunity for Quinn715,,Customer,Harold Campbell,Books,2818630,China,Herrera637 Inc,2015-11-01,true,2015-06-12T00:00:00.000Z,Utilities,Laura Garza,AE,New Business / Add-on,Sales WW,Digital Media,MM,08 - Closed Won,true
Opportunity for Freeman717,,Customer,Irene Kelley,Books,1023320,Sweden,Norris77 Inc,2016-10-05,false,2016-02-11T00:00:00.000Z,Banking,Irene McCoy,Marketing,Existing Business,Sales WW,Digital Media,SMB,04 - Value Proposition,false
Opportunity for Ross718,,Customer,John Williams,Cables,776540,Japan,Lowe352 Inc,2015-11-29,true,2015-09-06T00:00:00.000Z,Consulting,Kelly Frazier,Marketing,New Business / Add-on,Sales EMEA,Accessories,SMB,08 - Closed Won,true
Opportunity for Reeves721,,Customer,Dennis Howard,Cables,2367210,Singapore,Evans281 Inc,2016-03-23,true,2015-10-05T00:00:00.000Z,Apparel,Irene McCoy,BDR,New Business / Add-on,Sales WW,Accessories,MM,08 - Closed Won,true
Opportunity for Joseph722,,Customer,Laura Garza,,327145,Russia,Warner699 Inc,2017-01-26,false,2016-07-30T00:00:00.000Z,Insurance,Chris Riley,BDR,Existing Business,Sales EMEA,,ESMB,04 - Value Proposition,false
Opportunity for Silva728,,Customer,Laura Garza,Books,1641600,China,Mendoza936 Inc,2016-08-25,false,2016-06-02T00:00:00.000Z,Telecommunications,Doroth Gardner,Marketing,Existing Business,Sales AMER,Digital Media,COMM,05 - Perception Analysis,false
Opportunity for Simpson729,,Customer,Laura Garza,Courses,1666850,United Kingdom,West416 Inc,2016-10-17,false,2016-03-23T00:00:00.000Z,Energy,Catherine Brown,AE,New Business,Sales WW,Digital Media,SMB,01 - Prospecting,false
Opportunity for Pope1093,OR,Customer,Chris Riley,Cables,1134385,Canada,McKenzie887 Inc,2016-01-07,true,2015-12-26T00:00:00.000Z,Media,Bruce Kennedy,BDR,New Business,Sales AMER,Accessories,MM,08 - Closed Won,true
Opportunity for Miles1094,,Partner,Irene Kelley,Cables,79480,Japan,Myers320 Inc,2016-05-18,true,2015-12-31T00:00:00.000Z,Agriculture,Harold Campbell,AE,Existing Business,Sales EMEA,Accessories,SMB,08 - Closed Won,true
Opportunity for Morton1098,,Customer,Laura Garza,Space phone 3,761000,Singapore,Becker488 Inc,2016-02-21,true,2015-12-05T00:00:00.000Z,Transportation,Johnny Green,Marketing,New Business / Add-on,Sales WW,Phones,MM,08 - Closed Won,true
Opportunity for Mills1099,,Customer,Irene Kelley,Space phone 3,254500,South Korea,Klein591 Inc,2016-05-14,true,2016-03-25T00:00:00.000Z,Biotechnology,Eric Gutierrez,BDR,New Business / Add-on,Sales AMER,Phones,GB,09 - Closed Lost,false
Opportunity for Keller1100,,Partner,Eric Sanchez,Cables,1229730,Japan,Banks379 Inc,2015-07-15,true,2015-03-27T00:00:00.000Z,Apparel,Evelyn Williamson,AE,Existing Business,Sales WW,Accessories,ESMB,08 - Closed Won,true
Opportunity for Todd1101,,Partner,Bruce Kennedy,,173566,Germany,Fowler307 Inc,2016-07-24,true,2016-04-13T00:00:00.000Z,Agriculture,Eric Sanchez,AE,New Business,Sales WW,,MM,08 - Closed Won,true
Opportunity for Luna1104,MS,Customer,Eric Sanchez,Cables,228220,South Africa,Sharp764 Inc,2016-05-25,true,2015-11-15T00:00:00.000Z,Technology,Eric Sanchez,Marketing,New Business / Add-on,Sales WW,Accessories,SMB,08 - Closed Won,true
Opportunity for Myers1105,,Customer,John Williams,Cables,792270,Switzerland,Lopez275 Inc,2016-08-04,true,2016-01-10T00:00:00.000Z,Engineering,Chris Riley,AE,New Business / Add-on,Sales EMEA,Accessories,COMM,08 - Closed Won,true
Opportunity for Gardner1110,MD,Customer,Laura Garza,Certifications,645700,USA,Brown495 Inc,2016-11-07,false,2016-05-24T00:00:00.000Z,Retail,Irene Kelley,AE,New Business,Sales AMER,Digital Media,SMB,03 - Needs Analysis,false
Opportunity for Harrington1112,SD,Customer,Laura Garza,Light laptop,905000,Canada,Rowe333 Inc,2016-09-16,false,2016-06-24T00:00:00.000Z,Communications,Eric Gutierrez,BDR,New Business,Sales AMER,Laptops,ESMB,02 - Qualification,false
Opportunity for Tyler1115,,Customer,Dennis Howard,Books,114000,Norway,Cohen950 Inc,2016-09-19,false,2016-06-19T00:00:00.000Z,Biotechnology,Nicolas Weaver,Marketing,New Business / Add-on,Sales AMER,Digital Media,ENT,04 - Value Proposition,false
Opportunity for West1117,HI,Partner,Johnny Green,Books,3609320,Canada,Butler152 Inc,2016-07-04,true,2016-03-18T00:00:00.000Z,Electronics,Kelly Frazier,Marketing,New Business,Sales EMEA,Digital Media,SMB,08 - Closed Won,true
Opportunity for Rodriquez1469,,Customer,Eric Sanchez,Mini tablet 2,491550,China,King818 Inc,2016-08-03,true,2016-04-15T00:00:00.000Z,Telecommunications,Irene Kelley,BDR,New Business / Add-on,Sales AMER,Accessories,MM,08 - Closed Won,true
Opportunity for Martin1471,ID,Customer,Eric Gutierrez,,24536,Morocco,Bailey893 Inc,2016-01-28,true,2015-07-22T00:00:00.000Z,Electronics,Evelyn Williamson,BDR,New Business,Sales WW,,MM,08 - Closed Won,true
Opportunity for Simpson1472,OR,Customer,Julie Chavez,,283466,USA,Mann440 Inc,2016-05-14,true,2015-09-21T00:00:00.000Z,Electronics,Dennis Howard,BDR,New Business,Sales EMEA,,SMB,08 - Closed Won,true
Opportunity for Santos1475,,Customer,Laura Palmer,,345554,Hong Kong,Beck370 Inc,2016-07-08,true,2016-02-11T00:00:00.000Z,Finance,Harold Campbell,BDR,New Business / Add-on,Sales EMEA,,GB,08 - Closed Won,true
Opportunity for Holt1480,IN,Customer,Irene Kelley,Notebook,4328400,USA,Rodriquez412 Inc,2016-01-17,true,2015-07-23T00:00:00.000Z,Banking,Evelyn Williamson,Marketing,New Business / Add-on,Sales WW,Laptops,SMB,08 - Closed Won,true
Opportunity for Harmon1481,FL,Customer,Eric Sanchez,Cables,1738370,Canada,Myers581 Inc,2016-02-14,true,2016-01-23T00:00:00.000Z,Consulting,Nicolas Weaver,BDR,New Business,Sales AMER,Accessories,ESMB,08 - Closed Won,true
Opportunity for Reed1483,,Partner,Harold Campbell,Certifications,1755000,Italy,Fletcher234 Inc,2016-03-09,true,2015-12-27T00:00:00.000Z,Manufacturing,Eric Sanchez,BDR,New Business,Sales WW,Digital Media,SMB,08 - Closed Won,true
Opportunity for Klein1486,AZ,Customer,Laura Palmer,,431073,Canada,Nichols134 Inc,2016-10-24,false,2016-07-22T00:00:00.000Z,Finance,Kelly Frazier,AE,New Business,Sales EMEA,,COMM,01 - Prospecting,false
Opportunity for Stone1492,,Customer,Irene Kelley,Mega laptop,3163400,Taiwan,Fleming710 Inc,2015-12-17,true,2015-08-24T00:00:00.000Z,Utilities,Eric Gutierrez,BDR,New Business,Sales AMER,Laptops,MM,09 - Closed Lost,false
Opportunity for Johnston1857,IL,Customer,Bruce Kennedy,Space phone 2,163800,USA,Cummings220 Inc,2016-01-28,true,2015-06-21T00:00:00.000Z,Utilities,Irene Kelley,AE,New Business / Add-on,Sales AMER,Phones,ESMB,08 - Closed Won,true
Opportunity for Smith1859,TN,Partner,Laura Garza,Keyboard,1261290,USA,Morales41 Inc,2016-12-23,false,2016-05-17T00:00:00.000Z,Banking,Harold Campbell,BDR,New Business,Sales EMEA,Accessories,COMM,07 - Negotiation/Review,false
Opportunity for Thornton1860,RI,Partner,Laura Palmer,,193757,USA,Morris541 Inc,2016-01-27,true,2015-07-02T00:00:00.000Z,Technology,Irene Kelley,BDR,Existing Business,Sales AMER,,COMM,08 - Closed Won,true
Opportunity for Ramsey1863,MS,Partner,Dennis Howard,Keyboard,1885475,USA,Vaughn229 Inc,2016-02-27,true,2015-07-16T00:00:00.000Z,Banking,Doroth Gardner,BDR,New Business,Sales AMER,Accessories,SMB,08 - Closed Won,true
Opportunity for Mathis1864,,Customer,Irene Kelley,Light tablet 2,2628850,Norway,Medina110 Inc,2016-10-18,false,2016-06-30T00:00:00.000Z,Banking,Irene Kelley,AE,New Business,Sales AMER,Accessories,SMB,03 - Needs Analysis,false
Opportunity for Price1866,,Customer,Bruce Kennedy,Certifications,466000,France,Shaw160 Inc,2016-03-09,true,2016-01-23T00:00:00.000Z,Education,Chris Riley,AE,New Business,Sales EMEA,Digital Media,MM,08 - Closed Won,true
Opportunity for Moore1870,NH,Partner,Harold Campbell,Cables,165920,Canada,Ross559 Inc,2015-07-04,true,2015-06-04T00:00:00.000Z,Energy,Chris Riley,Marketing,New Business / Add-on,Sales EMEA,Accessories,ESMB,08 - Closed Won,true
Opportunity for Foster1871,,Customer,Dennis Howard,Mega laptop,1628800,Australia,Carr43 Inc,2015-06-10,true,2015-04-30T00:00:00.000Z,Apparel,Eric Gutierrez,AE,New Business,Sales AMER,Laptops,MM,08 - Closed Won,true
Opportunity for McDaniel1873,NM,Partner,Catherine Brown,Light laptop,3694000,USA,Mendez595 Inc,2015-10-07,true,2015-09-22T00:00:00.000Z,Banking,Kelly Frazier,AE,New Business,Sales EMEA,Laptops,ESMB,08 - Closed Won,true
Opportunity for Gibbs1874,,Customer,Johnny Green,Light tablet,2058100,India,Lynch943 Inc,2016-10-07,false,2016-02-20T00:00:00.000Z,Consulting,Catherine Brown,Marketing,New Business / Add-on,Sales WW,Laptops,SMB,06 - Proposal/Price Quote,false
Opportunity for Medina1876,,Customer,Irene McCoy,Mega laptop,2859100,Italy,Moran300 Inc,2017-02-21,false,2016-07-01T00:00:00.000Z,Healthcare,Irene Kelley,Alliances,Existing Business,Sales AMER,Laptops,GB,03 - Needs Analysis,false
Opportunity for Kim733,,Customer,Eric Sanchez,,238018,Turkey,Graham11 Inc,2016-06-05,true,2016-02-17T00:00:00.000Z,Healthcare,Laura Garza,BDR,New Business,Sales WW,,MM,08 - Closed Won,true
Opportunity for Curry734,,Customer,Kelly Frazier,Cables,40380,Japan,Doyle59 Inc,2016-10-09,false,2016-06-01T00:00:00.000Z,Biotechnology,Laura Garza,BDR,New Business / Add-on,Sales WW,Accessories,MM,02 - Qualification,false
Opportunity for Schultz736,,Customer,Julie Chavez,Courses,324200,China,Benson346 Inc,2015-08-10,true,2015-06-12T00:00:00.000Z,Technology,Kelly Frazier,Marketing,New Business,Sales EMEA,Digital Media,MM,09 - Closed Lost,false
Opportunity for Garner740,,Customer,Irene Kelley,Mini tablet,155600,Spain,Summers987 Inc,2016-10-03,false,2016-06-22T00:00:00.000Z,Transportation,John Williams,Alliances,New Business / Add-on,Sales WW,Tablets,SMB,05 - Perception Analysis,false
Opportunity for Watts745,,Customer,Eric Gutierrez,Mini tablet 2,676500,Singapore,Butler249 Inc,2015-08-30,true,2015-04-28T00:00:00.000Z,Energy,John Williams,AE,New Business / Add-on,Sales WW,Tablets,GB,08 - Closed Won,true
Opportunity for Freeman746,,Customer,Dennis Howard,Mega laptop,1411200,Taiwan,Cobb132 Inc,2016-02-09,true,2015-06-21T00:00:00.000Z,Apparel,Evelyn Williamson,BDR,New Business,Sales WW,Laptops,MM,08 - Closed Won,true
Opportunity for Hopkins747,OK,Customer,Doroth Gardner,,218798,USA,Erickson874 Inc,2016-05-22,true,2015-12-05T00:00:00.000Z,Media,John Williams,AE,New Business,Sales WW,,MM,08 - Closed Won,true
Opportunity for Clayton750,TX,Partner,Doroth Gardner,,411166,USA,Griffith580 Inc,2016-01-31,true,2015-06-25T00:00:00.000Z,Transportation,Irene McCoy,Alliances,Existing Business,Sales WW,,ESMB,08 - Closed Won,true
Opportunity for Andrews1118,,Partner,Chris Riley,Keyboard,591520,Japan,Becker755 Inc,2015-09-27,true,2015-09-12T00:00:00.000Z,Biotechnology,Bruce Kennedy,Marketing,New Business,Sales AMER,Accessories,ENT,08 - Closed Won,true
Opportunity for Estrada1122,,Partner,Chris Riley,Keyboard,466560,Australia,Harrison279 Inc,2017-01-04,false,2016-08-07T00:00:00.000Z,Retail,John Williams,Marketing,New Business,Sales WW,Accessories,ENT,04 - Value Proposition,false
Opportunity for Miles1126,,Customer,Irene McCoy,Mini tablet,142400,Germany,Gutierrez801 Inc,2016-07-24,true,2016-03-01T00:00:00.000Z,Banking,Chris Riley,AE,New Business,Sales EMEA,Tablets,COMM,08 - Closed Won,true
Opportunity for Ramos1127,,Partner,Eric Sanchez,Cables,15560,Turkey,Garza427 Inc,2015-07-19,true,2015-01-02T00:00:00.000Z,Energy,Eric Sanchez,AE,New Business / Add-on,Sales WW,Accessories,COMM,08 - Closed Won,true
Opportunity for Alvarado1128,,Customer,Eric Sanchez,,254886,Japan,Duncan773 Inc,2016-07-15,true,2016-04-18T00:00:00.000Z,Technology,Eric Sanchez,AE,New Business / Add-on,Sales WW,,ESMB,08 - Closed Won,true
Opportunity for Wilkins1129,NM,Partner,Evelyn Williamson,Light tablet,2210350,USA,Martin56 Inc,2016-02-03,true,2015-08-24T00:00:00.000Z,Telecommunications,Irene Kelley,AE,New Business / Add-on,Sales AMER,Tablets,SMB,08 - Closed Won,true
Opportunity for Harris1133,,Customer,Laura Garza,Light tablet,524400,Norway,Higgins494 Inc,2016-01-28,true,2015-10-26T00:00:00.000Z,Media,Johnny Green,Marketing,New Business / Add-on,Sales WW,Accessories,MM,08 - Closed Won,true
Opportunity for Moran1134,,Customer,Nicolas Weaver,Cables,749210,Japan,Park905 Inc,2015-06-29,true,2014-12-11T00:00:00.000Z,Technology,Kelly Frazier,AE,Existing Business,Sales EMEA,Accessories,SMB,08 - Closed Won,true
Opportunity for Obrien1138,MA,Customer,Eric Gutierrez,,489886,USA,Perez590 Inc,2015-11-27,true,2015-10-29T00:00:00.000Z,Retail,Chris Riley,AE,New Business,Sales EMEA,,SMB,09 - Closed Lost,false
Opportunity for Young1496,IA,Customer,Nicolas Weaver,Space phone 3,219000,USA,Owens400 Inc,2016-06-03,true,2015-12-16T00:00:00.000Z,Telecommunications,Laura Palmer,Marketing,Existing Business,Sales EMEA,Phones,ENT,08 - Closed Won,true
Opportunity for Malone1500,,Customer,Kelly Frazier,Light tablet,583800,Norway,Higgins666 Inc,2016-06-20,true,2016-01-29T00:00:00.000Z,Media,Chris Riley,AE,New Business / Add-on,Sales EMEA,Tablets,COMM,08 - Closed Won,true
Opportunity for McDonald1503,NJ,Customer,Laura Garza,Light laptop,3851250,USA,Rios830 Inc,2016-02-06,true,2016-01-24T00:00:00.000Z,Apparel,Johnny Green,Marketing,New Business,Sales WW,Laptops,MM,08 - Closed Won,true
Opportunity for Oliver1504,OH,Customer,Evelyn Williamson,Light tablet,1032600,USA,Young486 Inc,2016-01-25,true,2015-10-17T00:00:00.000Z,Technology,Evelyn Williamson,AE,New Business / Add-on,Sales WW,Tablets,MM,08 - Closed Won,true
Opportunity for Norris1506,,Customer,Eric Gutierrez,,43355,Sweden,Tran798 Inc,2016-01-29,true,2015-12-07T00:00:00.000Z,Agriculture,Doroth Gardner,Marketing,New Business,Sales AMER,,GB,08 - Closed Won,true
Opportunity for Hardy1507,,Customer,John Williams,Keyboard,594760,Italy,Benson689 Inc,2016-10-24,false,2016-03-30T00:00:00.000Z,Manufacturing,Irene Kelley,Marketing,New Business,Sales AMER,Accessories,MM,05 - Perception Analysis,false
Opportunity for Nguyen1510,,Customer,Dennis Howard,Space phone 3,791500,Switzerland,Hawkins276 Inc,2016-09-12,false,2016-03-31T00:00:00.000Z,Insurance,Evelyn Williamson,Marketing,New Business,Sales WW,Phones,MM,02 - Qualification,false
Opportunity for Garrett1512,,Customer,Dennis Howard,Certifications,2719000,Taiwan,Sims952 Inc,2016-05-05,true,2016-02-04T00:00:00.000Z,Engineering,Irene Kelley,Marketing,New Business,Sales AMER,Digital Media,ESMB,08 - Closed Won,true
Opportunity for Kennedy1514,,Customer,Julie Chavez,Keyboard,130230,France,Tate321 Inc,2015-07-20,true,2015-01-10T00:00:00.000Z,Apparel,Eric Gutierrez,BDR,New Business,Sales AMER,Accessories,SMB,08 - Closed Won,true
